Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.071,0), 360, 100.0, 360.0000010945739, 0, 0, 0, 0.177, 8.85, 0, 0
0, (0.071,0), 360, 100.0, 359.99999223468535, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 360, 100.0, 359.9999784174219, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 360, 100.0, 359.999970121076, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 360, 100.0, 359.99996051132746, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9999472760128, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9999288353837, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9999166778115, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.99989994470315, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9998878369993, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9998720857751, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9999, 100.0, 359.9998553039626, 0, 0, 0, 0, 0, 0, 0
0, (0.071,0), 359.9998, 100.0, 359.99984955415897, 0, 0, 0, 0, 0, 0, 0
Rotation, Location, Gyro Rotation, Sensor Optical Flow, Battery Level, Yaw, Pitch, Roll, Vy, Vx, AccX, AccY
0, (0.067,0), 360, 100.0, 360.0000027883913, 0, 0, 0, 0.168, 8.4, 0, 0
0, (0.067,0), 360, 100.0, 359.99999479057453, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 360, 100.0, 359.9999758964686, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 360, 100.0, 359.9999636050395, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 360, 100.0, 359.9999543732025, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.9999430267301, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.9999284866076, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.99990924323805, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.99989510046703, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.9998789320895, 0, 0, 0, 0, 0, 0, 0
0, (0.067,0), 359.9999, 100.0, 359.9998734017071, 0, 0, 0, 0, 0, 0, 0
9.6, (0.548,0.066), 9.5999, 100.0, 9.899857464873287, 10.26, 10.26, 0.0356, 0.2039, 10.1959, 1.7795, 1.7795
0.24, (1.655,0.133), 0.2398, 100.0, 0.23984319644818075, 0.24, 0.24, 0.0016, 0.386, 19.2998, 0.0808, 0.0808
6.72, (3.335,0.208), 6.7198, 100.0, 6.359822305872137, 5.28, 5.28, 0.0554, 0.4969, 24.8461, 2.7694, 2.7694
9.42, (5.109,0.515), 9.4198, 100.0, 10.139807972998119, 10.5, 10.5, 0.088, 0.4922, 24.6095, 4.4013, 4.4013
0.42, (6.502,0.628), 0.4198, 100.0, 0.4197934781913929, 1.08, 1.08, 0.0037, 0.5, 24.9993, 0.1833, 0.1833
354.18, (8.301,0.603), 354.1802, 100.0, 356.1602054276434, -2.82, -2.82, -0.0335, 0.4989, 24.9439, -1.6743, -1.6743
350.16, (9.089,0.466), 350.1602, 100.0, 350.1601997020281, -9.84, -9.84, -0.0854, 0.4926, 24.6322, -4.2724, -4.2724
354.84, (11.062,0.139), 354.8402, 100.0, 354.8401815677287, -8.4, -8.4, -0.045, 0.498, 24.8987, -2.2484, -2.2484
0.36, (11.862,0.13), 0.3602, 100.0, 0.3601711761104338, 0.36, 0.36, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
0.36, (13.262,0.139), 0.3602, 100.0, 0.36015582808964186, 0.36, 0.36, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
0.36, (14.462,0.146), 0.3601, 100.0, 0.3601474971999003, 0.36, 0.36, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
0.36, (15.862,0.155), 0.3601, 100.0, 0.3601350027449204, 0.36, 0.36, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
0.36, (16.862,0.162), 0.3601, 100.0, 0.3601262063512477, 0.36, 0.36, 0.0031, 0.5, 24.9995, 0.1571, 0.1571
2.88, (18.462,0.18), 2.8801, 100.0, 2.100114588753707, 1.02, 1.02, 0.0183, 0.4997, 24.9832, 0.9161, 0.9161
8.52, (20.245,0.407), 8.5201, 100.0, 9.600100633665452, 10.62, 10.62, 0.0834, 0.493, 24.6499, 4.1692, 4.1692
0.3, (21.641,0.501), 0.3001, 100.0, 0.30009117185545964, 0.84, 0.84, 0.0026, 0.5, 24.9997, 0.1309, 0.1309
0.3, (22.641,0.506), 0.3001, 100.0, 0.3000830196952125, 0.3, 0.3, 0.0026, 0.5, 24.9997, 0.1309, 0.1309
8.7, (24.636,0.61), 8.7001, 100.0, 7.5000622841311815, 6.42, 6.42, 0.0653, 0.4957, 24.7861, 3.2632, 3.2632
1.98, (25.629,0.719), 1.9801, 100.0, 3.060052918364139, 4.14, 4.14, 0.0267, 0.4993, 24.9644, 1.3345, 1.3345
352.62, (26.826,0.678), 353.1, 100.0, 354.48004162027934, -4.92, -4.92, -0.0523, 0.4973, 24.863, -2.6132, -2.6132
349.8, (27.615,0.545), 350.28, 100.0, 350.28003366927624, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
349.8, (28.796,0.332), 350.28, 100.0, 350.2800232373971, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
349.8, (30.568,0.014), 350.28, 100.0, 350.28001038504624, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
349.8, (32.339,-0.305), 350.28, 100.0, 350.2799921679086, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
349.8, (34.308,-0.659), 350.28, 100.0, 350.27997326873964, -10.2, -10.2, -0.0885, 0.4921, 24.6049, -4.4271, -4.4271
342.48, (36.062,-1.054), 342.96, 100.0, 343.97995181759063, -15.42, -15.42, -0.142, 0.4794, 23.9705, -7.1004, -7.1004
332.64, (37.909,-1.814), 333.1199, 100.0, 333.479933763924, -25.98, -25.98, -0.2298, 0.4441, 22.2034, -11.4895, -11.4895
329.52, (39.466,-2.718), 329.9999, 100.0, 329.9999211712435, -30.48, -30.48, -0.2536, 0.4309, 21.5452, -12.6809, -12.6809
329.52, (41.017,-3.631), 329.9999, 100.0, 329.9999065084023, -30.48, -30.48, -0.2536, 0.4309, 21.5452, -12.6809, -12.6809
329.52, (42.741,-4.645), 329.9999, 100.0, 329.99988997199404, -30.48, -30.48, -0.2536, 0.4309, 21.5452, -12.6809, -12.6809
321.48, (44.232,-5.65), 321.9599, 100.0, 322.25987541674846, -37.14, -37.14, -0.3093, 0.3928, 19.641, -15.4671, -15.4671
